,PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,PLAYER_SLUG,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_SLUG,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH
4068,202962,"Smith, Greg",Greg Smith,0,2011,2015,greg_smith,greg_smith,0,,,,,,Y,01
4069,202397,"Smith, Ish",Ish Smith,1,2010,2023,ish_smith,ish_smith,1610612743,Denver,Nuggets,DEN,nuggets,nuggets,Y,01
4070,2747,"Smith, JR",JR Smith,0,2004,2019,jr_smith,jr_smith,0,,,,,,Y,00
4071,2074,"Smith, Jabari",Jabari Smith,0,2000,2004,jabari_smith,jabari_smith,0,,,,,,Y,00
4072,1630188,"Smith, Jalen",Jalen Smith,1,2020,2023,jalen_smith,jalen_smith,1610612754,Indiana,Pacers,IND,pacers,pacers,Y,01
4073,201160,"Smith, Jason",Jason Smith,0,2007,2018,jason_smith,jason_smith,0,,,,,,Y,00
4074,202536,"Smith, Jerry",Jerry Smith,0,2011,2011,jerry_smith,jerry_smith,0,,,,,,Y,01
4075,78191,"Smith, Jim",Jim Smith,0,1981,1982,HISTADD_jim_smith,jim_smith,0,,,,,,Y,00
4076,693,"Smith, Joe",Joe Smith,0,1995,2010,joe_smith,joe_smith,0,,,,,,Y,00
4077,2746,"Smith, Josh",Josh Smith,0,2004,2017,josh_smith,josh_smith,0,,,,,,Y,00
4078,78192,"Smith, Keith",Keith Smith,0,1986,1986,HISTADD_keith_smith,keith_smith,0,,,,,,Y,00
4079,181,"Smith, Kenny",Kenny Smith,0,1987,1996,kenny_smith,kenny_smith,0,,,,,,Y,00
4080,78194,"Smith, Labradford",Labradford Smith,0,1991,1993,HISTADD_labradford_smith,labradford_smith,0,,,,,,Y,00
4081,78195,"Smith, Larry",Larry Smith,0,1980,1992,HISTADD_larry_smith,larry_smith,0,,,,,,Y,00
4082,1910,"Smith, Leon",Leon Smith,0,2001,2003,leon_smith,leon_smith,0,,,,,,Y,00
4083,63,"Smith, Michael",Michael Smith,0,1994,2000,michael_smith,michael_smith,0,,,,,,Y,00
4084,78197,"Smith, Michael",Michael Smith,0,1989,1994,HISTADD_michael_smith,michael_smith,0,,,,,,Y,00
4085,2065,"Smith, Mike",Mike Smith,0,2000,2000,mike_smith,mike_smith,0,,,,,,Y,00
4086,202701,"Smith, Nolan",Nolan Smith,0,2011,2012,nolan_smith,nolan_smith,0,,,,,,Y,01
4087,78198,"Smith, Otis",Otis Smith,0,1986,1991,HISTADD_otis_smith,otis_smith,0,,,,,,Y,00
4088,78199,"Smith, Phil",Phil Smith,0,1974,1982,HISTADD_phil_smith,phil_smith,0,,,,,,Y,00
4089,78200,"Smith, Randy",Randy Smith,0,1971,1982,HISTADD_randy_smith,randy_smith,0,,,,,,Y,00
4090,78201,"Smith, Reggie",Reggie Smith,0,1992,1993,HISTADD_reggie_smith,reggie_smith,0,,,,,,Y,00
4091,78204,"Smith, Robert",Robert Smith,0,1977,1984,HISTADD_robert_smith,robert_smith,0,,,,,,Y,00
4092,203893,"Smith, Russ",Russ Smith,0,2014,2015,russ_smith,russ_smith,0,,,,,,Y,01
4093,78205,"Smith, Sammy",Sammy Smith,0,1978,1979,HISTADD_sam_smith,sammy_smith,0,,,,,,Y,00
4094,120,"Smith, Steven",Steven Smith,0,1991,2004,steven_smith,steven_smith,0,,,,,,Y,00
4095,200848,"Smith, Steven",Steven Smith,0,2006,2006,steven_smith,steven_smith,0,,,,,,Y,01
4096,1478,"Smith, Stevin",Stevin Smith,0,1996,1996,stevin_smith,stevin_smith,0,,,,,,Y,00
4097,1631173,"Smith, Terquavion",Terquavion Smith,0,2023,2023,terquavion_smith,terquavion_smith,0,,,,,,N,00
4098,2604,"Smith, Theron",Theron Smith,0,2003,2004,theron_smith,theron_smith,0,,,,,,Y,01
4099,380,"Smith, Tony",Tony Smith,0,1990,2000,tony_smith,tony_smith,0,,,,,,Y,00
4100,78208,"Smith, Willie",Willie Smith,0,1976,1979,HISTADD_willie_smith,willie_smith,0,,,,,,Y,00
4101,1629015,"Smith, Zhaire",Zhaire Smith,0,2018,2023,zhaire_smith,zhaire_smith,0,,,,,,Y,01
4102,1628372,"Smith Jr., Dennis",Dennis Smith Jr.,1,2017,2023,dennis_smith_jr,dennis_smith_jr,1610612766,Charlotte,Hornets,CHA,hornets,hornets,Y,00
4103,1631095,"Smith Jr., Jabari",Jabari Smith Jr.,1,2022,2023,jabari_smith,jabari_smith_jr,1610612745,Houston,Rockets,HOU,rockets,rockets,Y,00
4104,1641733,"Smith Jr., Nick",Nick Smith Jr.,0,2023,2023,nick_smith_jr,nick_smith_jr,0,,,,,,N,00
4105,22,"Smits, Rik",Rik Smits,0,1988,1999,rik_smits,rik_smits,0,,,,,,Y,00
4106,1091,"Smrek, Mike",Mike Smrek,0,1985,1991,mike_smrek,mike_smrek,0,,,,,,Y,00
4107,78212,"Smyth, Joe",Joe Smyth,0,1953,1953,HISTADD_joe_smyth,joe_smyth,0,,,,,,Y,00
4108,1630270,"Sneed, Xavier",Xavier Sneed,1,2021,2022,xavier_sneed,xavier_sneed,1610612766,Charlotte,Hornets,CHA,hornets,hornets,Y,11
4109,203503,"Snell, Tony",Tony Snell,0,2013,2021,tony_snell,tony_snell,0,,,,,,Y,11
4110,727,"Snow, Eric",Eric Snow,0,1995,2007,eric_snow,eric_snow,0,,,,,,Y,00
4111,78213,"Snyder, Dick",Dick Snyder,0,1966,1978,HISTADD_dick_snyder,dick_snyder,0,,,,,,Y,00
