Player,O_POSSESSIONS,O_RAPM_2022,D_POSSESSIONS,D_RAPM_2022,TOTAL_POSSESSIONS,RAPM_2022
Bryce McGowens,1617,-1.4,1633,-0.28,3250,-1.68
Moses Brown,594,0.56,593,0.27,1187,0.83
Dalen Terry,432,-0.58,432,0.49,864,-0.08
Kyle Kuzma,4478,0.07,4478,1.19,8956,1.26
Moritz Wagner,2276,-0.41,2265,0.38,4541,-0.02
Shai Gilgeous-Alexander,5047,2.11,5039,0.52,10086,2.63
Killian Hayes,4351,-1.82,4341,-0.85,8692,-2.67
Larry Nance Jr.,2778,1.15,2816,1.65,5594,2.8
James Harden,4184,2.14,4175,-0.33,8359,1.81
Matisse Thybulle,2452,-1.03,2473,1.67,4925,0.63
Usman Garuba,1973,-1.43,1987,-0.87,3960,-2.29
Derrick Rose,703,-0.85,710,0.12,1413,-0.73
Blake Wesley,1407,-1.49,1399,-0.89,2806,-2.38
Danuel House Jr.,1619,0.37,1642,-0.83,3261,-0.46
Kristaps Porzingis,4222,1.72,4203,0.19,8425,1.91
Damion Lee,3050,-1.0,3020,1.29,6070,0.29
Raul Neto,973,0.11,984,-0.19,1957,-0.08
Justin Minaya,191,-0.09,188,-0.26,379,-0.35
Jalen Johnson,2157,-0.42,2176,0.29,4333,-0.13
Aaron Gordon,4184,2.38,4168,1.15,8352,3.53
Santi Aldama,3479,-0.02,3474,-0.1,6953,-0.12
Jordan Poole,5186,-1.82,5146,0.2,10332,-1.62
Andre Iguodala,244,0.48,243,0.4,487,0.88
Isaiah Roby,996,-1.31,990,0.02,1986,-1.29
CJ McCollum,5368,1.18,5360,-0.75,10728,0.42
DeAndre Jordan,1176,-0.68,1178,-0.72,2354,-1.4
Collin Sexton,2354,0.61,2366,-1.14,4720,-0.52
Gabe York,116,0.4,113,0.0,229,0.4
Wesley Matthews,1692,0.06,1723,0.3,3415,0.36
Zeke Nnaji,1418,-2.35,1433,1.12,2851,-1.23
Patrick Williams,4646,-0.21,4703,-0.96,9349,-1.17
Danny Green,279,-0.44,277,-0.09,556,-0.53
Cade Cunningham,835,-0.08,839,0.05,1674,-0.03
Gorgui Dieng,733,-1.39,732,-0.92,1465,-2.31
Moses Moody,1704,0.07,1698,0.36,3402,0.43
JT Thor,1981,-1.82,2004,0.5,3985,-1.32
Jeenathan Williams,270,0.04,278,-0.29,548,-0.24
Monte Morris,3404,2.01,3405,-1.45,6809,0.55
Draymond Green,4835,1.6,4828,2.03,9663,3.63
Dorian Finney-Smith,3905,0.0,3921,0.25,7826,0.25
Thanasis Antetokounmpo,412,-1.01,416,-1.06,828,-2.07
Devon Dotson,104,-0.15,104,0.14,208,0.0
Payton Pritchard,1282,-1.1,1286,0.18,2568,-0.92
Jarrell Brantley,80,-0.01,78,0.34,158,0.33
Justise Winslow,1536,-0.66,1545,0.98,3081,0.31
Haywood Highsmith,1919,-1.61,1941,0.84,3860,-0.77
Frank Kaminsky,479,0.16,473,-0.29,952,-0.12
Trendon Watford,2386,-0.19,2397,-1.22,4783,-1.41
Russell Westbrook,4483,0.5,4487,-1.02,8970,-0.52
Caris LeVert,4393,-0.84,4388,1.08,8781,0.24
Wenyen Gabriel,2093,0.04,2136,0.2,4229,0.24
Keon Ellis,140,-0.32,137,-0.28,277,-0.6
Chima Moneke,16,-0.14,17,-0.07,33,-0.21
Royce O'Neale,4783,0.3,4811,0.67,9594,0.97
Isaiah Todd,126,-0.52,124,0.0,250,-0.52
Edmond Sumner,1512,0.01,1525,0.32,3037,0.33
Quenton Jackson,286,-0.32,283,-0.14,569,-0.46
Malik Beasley,4314,-0.94,4306,-1.33,8620,-2.27
De'Anthony Melton,4257,-0.16,4271,-0.23,8528,-0.39
Frank Jackson,9,-0.01,8,-0.04,17,-0.05
Theo Pinson,655,-0.18,670,-0.6,1325,-0.78
Josh Richardson,3162,-0.98,3181,0.44,6343,-0.54
Brook Lopez,4928,0.29,4934,2.82,9862,3.11
JaMychal Green,1688,-0.87,1698,-1.44,3386,-2.31
Cody Martin,271,0.06,272,-0.27,543,-0.21
Marko Simonovic,44,0.06,45,0.26,89,0.32
Ivica Zubac,4345,-0.19,4346,-0.03,8691,-0.22
Cedi Osman,3058,1.37,3043,0.41,6101,1.78
Justin Champagnie,65,0.15,64,-0.33,129,-0.18
Dalano Banton,564,-0.76,563,-0.15,1127,-0.91
Jordan Nwora,2446,-1.07,2474,-1.8,4920,-2.87
Bol Bol,3060,-1.56,3076,0.11,6136,-1.45
Terance Mann,3735,1.22,3750,-0.52,7485,0.7
Javonte Green,987,0.23,999,0.83,1986,1.06
Wendell Carter Jr.,3413,-0.66,3403,1.56,6816,0.9
Jordan Hall,171,-0.62,169,0.09,340,-0.53
De'Aaron Fox,5063,2.53,5041,-1.7,10104,0.82
AJ Green,709,-0.04,708,-0.63,1417,-0.67
Jeremy Sochan,3024,0.36,3025,-0.45,6049,-0.09
Jamal Cain,489,0.0,497,0.82,986,0.82
Talen Horton-Tucker,2728,-0.37,2732,0.51,5460,0.14
Jaden Ivey,4692,-2.27,4689,-2.23,9381,-4.5
Victor Oladipo,2194,-0.39,2197,0.0,4391,-0.39
Seth Curry,2446,-1.44,2430,-1.0,4876,-2.44
Tobias Harris,4802,0.5,4774,1.04,9576,1.54
Trae Young,5400,1.27,5347,-0.29,10747,0.98
Josh Christopher,1591,-1.11,1578,-2.01,3169,-3.12
Davis Bertans,972,-0.14,978,-0.47,1950,-0.61
Reggie Jackson,3305,-1.54,3295,0.51,6600,-1.03
Cameron Johnson,2385,0.77,2400,1.25,4785,2.02
Dean Wade,1741,-0.83,1757,1.99,3498,1.16
Greg Brown III,183,-0.86,183,0.74,366,-0.12
Carlik Jones,112,0.14,116,0.38,228,0.52
Dario Saric,1610,0.3,1599,0.34,3209,0.64
Karl-Anthony Towns,1977,-0.82,1958,0.4,3935,-0.41
Coby White,3504,1.74,3501,0.14,7005,1.88
